positionid,city,companyFullName,companyLabelList,district,education,firstType,formatCreateTime,positionName,salary,workYear
5461992,南京,南京网感至察信息科技有限公司,"['技能培训', '股票期权', '带薪年假', '绩效奖金']",秦淮区,本科,开发|测试|运维类,17:03发布,python开发工程师,10k-20k,1-3年
4042218,上海,上海大岂网络科技有限公司,"['带薪年假', '定期体检', '年终分红', '节日礼物']",徐汇区,本科,开发|测试|运维类,13:50发布,python工程师,15k-20k,5-10年
5531571,北京,北京悦慧康科技有限公司,[],海淀区,本科,开发|测试|运维类,1天前发布,Python开发工程师,12k-24k,1-3年
5769328,北京,前沿驱动（北京）技术有限公司,"['五险一金', '弹性工作', '扁平管理', '绩效奖金']",房山区,本科,开发|测试|运维类,16:42发布,python开发,12k-23k,1-3年
5841923,上海,上海久耶供应链管理有限公司,"['技能培训', '绩效奖金', '年度旅游', '垂直生鲜电商']",嘉定区,不限,开发|测试|运维类,2天前发布,Python开发工程师,20k-30k,3-5年
5868344,深圳,北京市商汤科技开发有限公司,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",南山区,本科,开发|测试|运维类,1天前发布,python开发工程师,20k-40k,3-5年
5757296,上海,飞书数字科技（上海）有限公司,"['技能培训', '扁平管理', '五险一金', '弹性工作']",长宁区,本科,开发|测试|运维类,16:19发布,Python开发工程师,15k-25k,3-5年
5278910,深圳,深圳云天励飞技术有限公司,"['节日礼物', '带薪年假', '年度旅游', '开放务实']",福田区,不限,开发|测试|运维类,09:12发布,Python开发工程师(J10047),15k-25k,3-5年
5799792,上海,上海昌投网络科技有限公司,"['技能培训', '股票期权', '绩效奖金', '扁平管理']",浦东新区,本科,开发|测试|运维类,09:06发布,python开发工程师,15k-25k,1-3年
4879656,北京,爱笔（北京）智能科技有限公司,"['国际化团队', '计算机视觉', '语音识别', '自然语言理解']",海淀区,本科,开发|测试|运维类,17:25发布,Python开发工程师,20k-40k,3-5年
5972218,吕梁,北京韦尔科技有限公司,"['节日礼物', '年度旅游', '弹性工作', '定期体检']",离石区,本科,开发|测试|运维类,16:41发布,python开发工程师,5k-10k,1-3年
5684807,上海,上海宝尊电子商务有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",闸北区,本科,开发|测试|运维类,15:13发布,python开发工程师,12k-18k,1-3年
5977096,上海,达而观信息科技（上海）有限公司,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",浦东新区,本科,开发|测试|运维类,13:53发布,Python开发工程师,15k-30k,3-5年
5969962,成都,成都晓多科技有限公司,"['股票期权', '年底双薪', '绩效奖金', '带薪年假']",高新区,本科,开发|测试|运维类,15:05发布,python开发工程师,20k-25k,3-5年
3409230,上海,仟传网络科技（上海）有限公司,"['节日礼物', '年底双薪', '专项奖金', '年度旅游']",徐汇区,不限,开发|测试|运维类,1天前发布,Python 工程师（数据平台）,10k-20k,1-3年
5724591,北京,北京特拉库塔科技有限公司,"['股票期权', '前沿技术', '六险一金', '氛围逗比']",朝阳区,本科,开发|测试|运维类,13:27发布,软件工程师-Python,15k-28k,1-3年
4641387,北京,北京智胜新格科技有限公司,"['绩效奖金', '定期体检', '弹性工作', '节日礼物']",海淀区,本科,开发|测试|运维类,11:57发布,Python开发,15k-30k,1-3年
5876892,北京,北京博派通达科技有限公司,"['年底双薪', '股票期权', '带薪年假', '扁平管理']",朝阳区,大专,开发|测试|运维类,15:56发布,Python开发工程师（爬虫）,12k-20k,1-3年
5877192,深圳,广州奇志信息科技有限公司,"['年底双薪', '带薪年假', '岗位晋升', '扁平管理']",南山区,本科,开发|测试|运维类,15:29发布,python开发工程师,10k-20k,1-3年
5725220,北京,上海淇毓信息科技有限公司,"['年底双薪', '股票期权', '带薪年假', '定期体检']",朝阳区,本科,开发|测试|运维类,10:55发布,python开发工程师,20k-30k,5-10年
5786186,北京,深圳市金证优智科技有限公司,[],海淀区,本科,开发|测试|运维类,10:52发布,python开发工程师,15k-25k,3-5年
5898567,北京,北京钱方银通科技有限公司,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']",朝阳区,本科,开发|测试|运维类,2天前发布,python开发工程师,13k-26k,3-5年
5964923,深圳,人人贷商务顾问（北京）有限公司,"['年底双薪', '五险一金', '交通补助', '带薪年假']",南山区,本科,开发|测试|运维类,13:38发布,Python量化开发工程师,15k-26k,3-5年
4735539,南京,飞友科技有限公司,"['节日礼物', '年度旅游', '管理规范', '五险一金']",秦淮区,本科,开发|测试|运维类,11:09发布,Python开发工程师（南京）,10k-18k,1-3年
3965194,上海,竹间智能科技（上海）有限公司,"['股票期权', '年假≥12天', '开放透明氛围', '技术黑科技']",徐汇区,本科,开发|测试|运维类,10:11发布,Python 开发工程师,20k以上,不限
5499316,北京,北京流体网络科技有限公司,"['股票期权', '弹性工作', '领导好', '扁平管理']",朝阳区,本科,开发|测试|运维类,1天前发布,python开发工程师,15k-30k,3-5年
5784556,上海,千言信息技术（上海）有限公司,"['高端医疗保险', '国际化团队', '绩效奖金', '带薪年假']",黄浦区,大专,开发|测试|运维类,1天前发布,高级后端开发工程师-Python,20k-30k,5-10年
5802121,成都,四川弘和通讯有限公司,"['绩效奖金', '五险一金', '通讯津贴', '交通补助']",武侯区,本科,开发|测试|运维类,13:35发布,python开发,10k-15k,3-5年
4809248,长沙,湖南竞网智赢网络技术有限公司,"['节日礼物', '技能培训', '年度旅游', '岗位晋升']",岳麓区,本科,开发|测试|运维类,09:49发布,python开发工程师,10k-13k,3-5年
5811909,上海,上海谷露软件有限公司,"['团队融洽', '股票期权', '扁平管理', '通讯津贴']",黄浦区,本科,开发|测试|运维类,09:22发布,Python开发工程师,20k-25k,3-5年
5874290,北京,北京影谱科技股份有限公司,"['年度旅游', '定期休假', '七险一金', '午餐补助']",东城区,本科,开发|测试|运维类,2天前发布,python开发工程师,15k-30k,3-5年
5428792,上海,上海道客网络科技有限公司,"['工程师文化', '业界大牛', '改变世界', '豪华团队']",杨浦区,本科,开发|测试|运维类,17:23发布,Python开发工程师 （上海/北京）,15k-30k,3-5年
5962803,北京,北京爱特曼科技有限公司,"['年底双薪', '定期体检', '股票期权', '带薪年假']",朝阳区,本科,开发|测试|运维类,2天前发布,Django研发工程师,15k-25k,1-3年
4135794,上海,行吟信息科技（上海）有限公司,"['年度旅游', '节日礼物', '专项奖金', '带薪年假']",黄浦区,本科,开发|测试|运维类,17:13发布,Python开发工程师,20k-40k,1-3年
5623154,深圳,广东盛迪嘉电子商务股份有限公司,"['年底双薪', '带薪年假', '绩效奖金', '交通补助']",南山区,本科,开发|测试|运维类,1天前发布,python开发工程师,15k-20k,3-5年
5034360,深圳,弘量科技（深圳）有限公司,"['优秀同事', '股票期权', '年终分红', '带薪年假']",南山区,本科,开发|测试|运维类,09:35发布,Python工程师,15k-30k,3-5年
5523065,武汉,深圳比特屋网络有限公司,"['年底双薪', '带薪年假', '年度旅游', '节日礼物']",洪山区,本科,开发|测试|运维类,1天前发布,Python开发工程师,15k-25k,1-3年
5801437,福州,宝宝巴士（福建）网络科技有限公司,"['股票期权', '扁平管理', '领导好', '成长快']",仓山区,不限,开发|测试|运维类,2019-05-20,Python开发工程师,8k-16k,1-3年
4466137,北京,北京中科物安科技有限公司,"['年底双薪', '带薪年假', '午餐补助', '领导好']",海淀区,本科,开发|测试|运维类,10:22发布,python开发工程师,15k-25k,3-5年
4932878,北京,北京摩尔宝宝网络科技有限公司,"['大牛带队', '注重成长', '硅谷范儿', '免费午餐']",朝阳区,本科,开发|测试|运维类,1天前发布,python开发工程师,15k-25k,1-3年
5889767,成都,易宝软件科技（南京）有限公司,[],郫县,本科,开发|测试|运维类,2019-05-17,Python开发工程师,8k-16k,3-5年
5696846,北京,北京云杉智达科技有限公司,"['绩效奖金', '扁平管理', '岗位晋升', '五险一金']",朝阳区,本科,开发|测试|运维类,16:21发布,Python 研发工程师,10k-20k,1-3年
3772461,武汉,行吟信息科技（上海）有限公司,"['年度旅游', '节日礼物', '专项奖金', '带薪年假']",东湖新技术开发区,本科,开发|测试|运维类,17:13发布,Python开发工程师,15k-30k,1-3年
5920174,深圳,深圳市大寰机器人科技有限公司,"['定期体检', '股票期权', '午餐补助']",南山区,本科,开发|测试|运维类,10:27发布,python开发工程师,10k-16k,3-5年
5338758,南京,南京硅基智能科技有限公司,"['绩效奖金', '股票期权', '午餐补助', '带薪年假']",雨花台区,本科,开发|测试|运维类,09:41发布,python开发工程师 （AI）,12k-20k,3-5年
5836156,北京,北京神州绿盟信息安全科技股份有限公司,"['技能培训', '节日礼物', '股票期权', '带薪年假']",海淀区,本科,开发|测试|运维类,2天前发布,实习-Python工程师,2k-4k,1年以下
5586650,成都,北京棕榈创想科技有限公司,"['绩效奖金', '交通补助', '定期体检', '午餐补助']",高新区,本科,开发|测试|运维类,2019-05-24,Python开发工程师（中级）,10k-20k,3-5年
5696927,北京,北京云杉智达科技有限公司,"['绩效奖金', '扁平管理', '岗位晋升', '五险一金']",朝阳区,本科,开发|测试|运维类,16:21发布,Django 研发工程师,10k-20k,1-3年
5911730,北京,掌阅科技股份有限公司,"['专项奖金', '带薪年假', '年度旅游', '扁平管理']",朝阳区,本科,开发|测试|运维类,10:26发布,高级Python研发工程师,22k-35k,3-5年
4572265,深圳,智言科技(深圳)有限公司,"['年底双薪', '绩效奖金', '通讯津贴', '扁平管理']",南山区,本科,开发|测试|运维类,2天前发布,Python开发工程师,10k-20k,3-5年
